Drink,Name,Main Alcohol
1,Highball,Bourbon
2,Scotch and Soda,Scotch
3,7 & 7,Seagram 7
4,Whiskey and Water,Whiskey
5,Rum and Coke,Light Rum
6,Cuba Libre,Light Rum
7,Gin and Tonic, Gin
8,Presbyterian, Bourbon
9,Gin Rickey, Gin
10,Old Fashioned, Bourbon
11,Bloody Mary, Vodka
12,Bloody Maria, Tequila
13,Greyhound, Vodka
14,Salty Dog, Vodka
15,Screwdriver, Vodka
16,Harvey Wallbanger, Vodka	 Galliano
17,Tequila Sunrise, Tequila
18,Cape Cod, Vodka
19,Sea Breeze, Vodka
20,Bay Breeze, Vodka
21,Madras, Vodka
22,Sex On The Beach, Vodka	 Peach Schnapps
23,Slow Screw, Sloe Gin
24,Slow Comfortable Screw, Sloe Gin	 Southern Comfort
25,Bocci Ball, Amaretto
26,Melon Ball, Vodka	 Midori
27,Fuzzy Navel, Peach Schnapps
28,Screaming Fuzzy Navel/Hairy Navel, Peach Schnapps	 Vodka
29,Brandy Alexander, Brandy		Brown Creme de Cacao
30,Golden Cadillac, Galliano	 White Creme de Cacao
31,Banshee, Creme de Banana	 White Creme de Cacao
32,Golden Dream, Galliano	 Triple-Sec
33,Pink Squirrel, Creme de Almond	 White Creme de Cacao
34,Grasshopper, Green Creme de Menthe	 White Creme de Cacao
35,Pink Lady, Gin
36,Dreamsickle, Amaretto
37,Toasted Almond, Amaretto	 Kahlua
38,Smith & Kerns, Kahlua
39,Martini, Gin/Vodka	 Dry Vermouth
40,Dry Martini, Gin/Vodka	 Dry Vermouth
41,Extra Dry Martini, Gin/Vodka	 Dry Vermouth
42,Gibson, Gin/Vodka	 Dry Vermouth
43,Manhattan, Bourbon	 Sweet Vermouth
44,Dry Manhattan, Bourbon	 Dry Vermouth
45,Perfect Manhattan, Bourbon	 Dry Vermouth	Sweet Vermouth
46,Rob Roy, Scotch	 Sweet Vermouth
47,Dry Rob Roy, Scotch	 Dry Vermouth
48,Perfect Rob Roy, Scotch	 Dry Vermouth	Sweet Vermouth
49,Southern Comfort Manhattan, Southern Comfort	 Dry Vermouth
50,B&B, Brandy	 Benedictine
51,French Connection/ Beautiful, Cognac	 Grand Marnier
