Name,Glass,Main Alcohol,Other Alcohols,Mixes,Garnish
Highball,Highball/Bucket with ice,1oz Bourbon,,Gingerale,
Scotch and Soda,Highball/Bucket with ice,1oz Scotch,,Soda,
7 & 7,Highball/Bucket with ice,1oz Seagram 7,,7up,
Whiskey and Water,Highball/Bucket with ice,1oz Whiskey,,Water,
Rum and Coke,Highball/Bucket with ice,1oz Light Rum,,Coke,
Cuba Libre,Highball/Bucket with ice,1oz Light Rum,,Coke,Squeeze and garnish with lime
Gin and Tonic,Highball/Bucket with ice,1oz Gin,,Tonic,Lime
Presbyterian,Highball/Bucket with ice,1oz Bourbon,,1/2 Soda 1/2 Gingerale,
Gin Rickey,Highball/Bucket with ice,1oz Gin,,Soda,Lime
Old Fashioned,Highball/Bucket with ice,1oz Bourbon,,Soda,1/2oz simple syrup or sugar  2 dashes bitters	1 orange slice	1 cherry all mashed. Flag
Bloody Mary,Collins glass with ice,1oz Vodka,,Tomato Juice,"2 dashes salt, 2 dashes pepper, 2 dashes celery salt, 4 drops Worscestershire sauce, 1 drop Tabasco, celery stick or lime garnish"
Bloody Maria,Collins glass with ice,1oz Tequila,,Tomato Juice,"2 dashes salt, 2 dashes pepper, 2 dashes celery salt, 4 drops Worscestershire sauce, 1 drop Tabasco, celery stick or lime garnish"
Greyhound,Collins glass with ice,1oz Vodka,,Grapefruit Juice,
Salty Dog,Salted rim Collins glass with ice,1oz Vodka,,Grapefruit Juice,
Screwdriver,Collins glass with ice,1oz Vodka,,Orange Juice,
Harvey Wallbanger,Collins glass with ice,1oz Vodka,1/2oz Galliano,Orange Juice,
Tequila Sunrise,Collins glass with ice,1oz Tequila,,Orange Juice & 1/2oz Grenadine,Cherry
Cape Cod,Collins glass with ice,1oz Vodka,,Cranberry Juice,(Lime makes it a Cape Codder)
Sea Breeze,Collins glass with ice,1oz Vodka,,1/2 Cranberry 1/2 Grapefruit,Cherry
Bay Breeze,Collins glass with ice,1oz Vodka,,1/2 Cranberry 1/2 Pineapple,Cherry
Madras,Collins glass with ice,1oz Vodka,,1/2 Cranberry 1/2 Orange,Cherry
Sex On The Beach,Collins glass with ice,1oz Vodka,1/2oz Peach Schnapps,1/2 Cranberry 1/2 Orange,
Slow Screw,Collins glass with ice,1oz Sloe Gin,,Orange Juice,Cherry
Slow Comfortable Screw,Collins glass with ice,1oz Sloe Gin,1/2oz Southern Comfort,Orange Juice,Cherry
Bocci Ball,Collins glass with ice,1oz Amaretto,,2oz Orange Juice, Soda
Melon Ball,Collins glass with ice,1oz Vodka,1/2oz Midori on top,Orange Juice,
Fuzzy Navel,Collins glass with ice,1oz Peach Schnapps,,Orange Juice,
Screaming Fuzzy Navel/Hairy Navel,Collins glass with ice,1oz Peach Schnapps,1/2oz Vodka on top,Orange Juice,
Brandy Alexander,Cocktail stemmed,1/2oz Brandy,1/2oz Brown Creme de Cacao,2oz Cream,Nutmeg
Golden Cadillac,Cocktail stemmed,1/2oz Galliano,1/2oz White Creme de Cacao,2oz Cream,
Banshee,Cocktail stemmed,1/2oz Creme de Banana,1/2oz White Creme de Cacao,2oz Cream,
Golden Dream,Cocktail stemmed,1/2oz Galliano,1/2oz Triple-Sec,1/2oz Orange Juice,1-1/2oz Cream
Pink Squirrel,Cocktail stemmed,1/2oz Creme de Almond,1/2oz White Creme de Cacao,2oz Cream,
Grasshopper,Cocktail stemmed,1/2oz Green Creme de Menthe,1/2oz White Creme de Cacao,2oz Cream,
Pink Lady,Cocktail stemmed,1oz Gin,,1/2oz Grenadine,1-1/2oz Cream
Dreamsickle,Highball,1oz Amaretto,,1oz Orange Juice,1oz Cream
Toasted Almond,Highball,1/2oz Amaretto,1/2oz Kahlua,2oz Cream,
Smith & Kerns,Highball,1oz Kahlua,,2oz Cream, Soda
Martini,Cocktail/Rocks,2oz Gin/Vodka,6 drops Dry Vermouth,,Olive
Dry Martini,Cocktail/Rocks,2oz Gin/Vodka,3 drops Dry Vermouth,,Olive
Extra Dry Martini,Cocktail/Rocks,2oz Gin/Vodka,0-1 drops Dry Vermouth,,Olive
Gibson,Cocktail/Rocks,2oz Gin/Vodka,6 drops Dry Vermouth,,Onion
Manhattan,Cocktail/Rocks,2oz Bourbon,1/4oz Sweet Vermouth,,Cherry
Dry Manhattan,Cocktail/Rocks,2oz Bourbon,1/4oz Dry Vermouth,,Olive
Perfect Manhattan,Cocktail/Rocks,2oz Bourbon,1/8oz Dry Vermouth,1/8oz Sweet Vermouth,Lemon Twist
Rob Roy,Cocktail/Rocks,2oz Scotch,1/4oz Sweet Vermouth,,Cherry
Dry Rob Roy,Cocktail/Rocks,2oz Scotch,1/4oz Dry Vermouth,,Olive
Perfect Rob Roy,Cocktail/Rocks,2oz Scotch,1/8oz Dry Vermouth,1/8oz Sweet Vermouth,Lemon Twist
Southern Comfort Manhattan,Cocktail/Rocks,2oz Southern Comfort,1/4oz Dry Vermouth,,Cherry
B&B,Snifter,3/4oz Brandy,3/4oz Benedictine,,
French Connection/ Beautiful,Snifter,3/4oz Cognac,3/4oz Grand Marnier,,
Black Russian,Rocks,1oz Vodka,1/2oz Kahlua,,
Dirty Mother,Rocks,1oz Brandy,1/2oz Kahlua,,
Brave Bull,Rocks,1oz Tequila,1/2oz Kahlua,,
White Russian,Tall,1oz Vodka,1/2oz Kahlua,Fill with Cream,
Dirty White Mother,Tall,1oz Brandy,1/2oz Kahlua,Fill with Cream,
White Bull,Tall,1oz Tequila,1/2oz Kahlua,Fill with Cream,
Godfather,Rocks,1oz Scotch,1/2oz Amaretto,,
Godmother,Rocks,1oz Vodka,1/2oz Amaretto,,
Godchild,Rocks,1oz Brandy,1/2oz Amaretto,,
Gimlet,Rocks,1oz Gin,,1/2oz Lime Juice,Lime
Vodka Gimlet,Rocks,1oz Vodka,,1/2oz Lime Juice,Lime
Black Jamaican,Rocks,1oz Myers' Rum,Tia Maria,,
Rusty Nail,Rocks,1oz Scotch,Drambuie,,
Stinger,Rocks,1oz Brandy,White Creme de Menthe,,
Colorado Bulldog,Bucket,1oz Vodka,Kahlua,1-1/2oz Cream, Coke
Rootbeer Float,Tall,1oz Vodka,Kahlua,1/2oz Galliano on top,1-1/2oz Cream	 Coke	Whipped Cream	 Cherry
Whiskey Sour,Bucket,1oz Whiskey,,2oz Sweet and Sour,Cherry
Daiquiri,Cocktail stemmed,1oz Light Rum,,2oz Sweet and Sour,Lime
Bacardi Cocktail,Cocktail stemmed,1oz Light Rum,,2oz Sweet and Sour,1/4oz Grenadine	Cherry
Margarita,Bucket/Margarita,1oz Tequila,1/2oz Triple-Sec,1/8oz Lime Juice,2oz Sweet and Sour	Lime
Blue Margarita,Bucket/Margarita,1oz Tequila,1/2oz Blue Curacao,1/8oz Lime Juice,2oz Sweet and Sour	Lime
Long Island Iced Tea,Collins/Tall with ice,1/2oz Vodka,1/2oz Gin,1/2oz Rum,1/2oz Triple-Sec	2oz Sweet and Sour	 Coke	Lemon wedge
Electric Iced Tea/Texas Tea,Collins/Tall with ice,1/2oz Vodka,1/2oz Gin,1/2oz Rum,1/2oz Triple-Sec	1/2oz Tequila	2oz Sweet and Sour	 Coke	Lemon wedge
