Drink,Name,Main Alcohol,Type of Drink,Sweet or Not,Flavor,Mixes
29,Brandy Alexander, Brandy		Brown Creme de Cacao,Creamy Drink,Sweet,Creamy,2oz Cream
30,Golden Cadillac, Galliano	 White Creme de Cacao,Creamy Drink,Sweet,Creamy,2oz Cream
31,Banshee, Creme de Banana	 White Creme de Cacao,Creamy Drink,Sweet,Creamy,2oz Cream
32,Golden Dream, Galliano	 Triple-Sec,Creamy Drink,Sweet,Creamy,1/2oz Orange Juice	1-1/2oz Cream
33,Pink Squirrel, Creme de Almond	 White Creme de Cacao,Creamy Drink,Sweet,Creamy,2oz Cream
34,Grasshopper, Green Creme de Menthe	 White Creme de Cacao,Creamy Drink,Sweet,Creamy,2oz Cream
35,Pink Lady, Gin,Creamy Drink,Sweet,Creamy,1/2oz Grenadine	1-1/2oz Cream
36,Dreamsickle, Amaretto,Creamy Drink,Sweet,Creamy,1oz Orange Juice	1oz Cream
37,Toasted Almond, Amaretto	 Kahlua,Creamy Drink,Sweet,Creamy,2oz Cream
38,Smith & Kerns, Kahlua,Creamy Drink,Sweet,Creamy,2oz Cream	 Soda
55,White Russian, Vodka	 Kahlua,2-Liquor Drink,Sweet,Creamy,Fill with Cream
56,Dirty White Mother, Brandy	 Kahlua,2-Liquor Drink,Sweet,Creamy,Fill with Cream
57,White Bull, Tequila	 Kahlua,2-Liquor Drink,Sweet,Creamy,Fill with Cream
66,Colorado Bulldog, Vodka	Kahlua,2-Liquor Drink,Sweet,Creamy,Cream	 Coke
67,Rootbeer Float, Vodka	Kahlua	 Galliano,2-Liquor Drink,Sweet,Creamy,Cream	 Coke	Whipped Cream	 Cherry
100,Pina Colada, Light Rum,Party Drink,Sweet,Creamy,1oz Cream of Coconut Syrup	2oz Pineapple Juice	Pineapple wedge/cherry
101,Chi Chi, Vodka,Party Drink,Sweet,Creamy,1oz Cream of Coconut Syrup	2oz Pineapple Juice	Pineapple wedge/cherry
102,B-52, Kahlua	 Bailey's	Grand Marnier,Shot,Sweet,Creamy,1/2oz Grand Marnier
103,Mudslide, Kahlua	 Bailey's	Vodka,Shot,Sweet,Creamy,1/2oz Vodka
109,Orgasm, Kahlua	 Bailey's	Amaretto,Shot,Sweet,Creamy,Layered
110,Screaming Orgasm, Kahlua	 Bailey's	Amaretto	Vodka,Shot,Sweet,Creamy,Layered
112,Slippery Nipple, Sambuca	 Bailey's,Shot,Sweet,Creamy,Shot
113,Buttery Nipple/Butterfinger, Bailey's	 Butterscotch Schnapps,Shot,Sweet,Creamy,Shot
115,Oatmeal Cookie, Butterscotch Schnapps	 Bailey’s	Jagermeister	Goldschlager,Shot,Sweet,Creamy,Shot
116,Blowjob, Bailey's	 Amaretto	Frangelico,Shot,Sweet,Creamy,Layered
117,Cement Mixer, Bailey's,Shot,Not,Creamy,Drop Lime Juice
